name,norad_id,uplink,downlink,beacon,mode,callsign,satnogs_id
NanoFF-A,58810,,435.950,,4800bps GMSK,DP0NFA,DUMR-1924-9064-2363-1545
NanoFF-B,58755,,435.950,,4800bps GMSK,DP0NFB,RCBZ-5048-4345-8306-0931
Nanozond-1,57190,,437.000,,2k4/4k8/9k6* GMSK_USP,RS49S,VMNV-8729-6815-0607-7666
NasbSat-1,67289,,401.500*/401.600,,2k4 GMSK_USP,S3809A/9B,
NasbSat-2,67285,,401.700*/401.800,,2k4 GMSK_USP,A2S5A/5B,
NETSAT-2,46507,,435.600,,9600bps GFSK,DP2NSB,DBTP-4321-2218-3495-4829
Nightjar,60535,,435.350,,4800bps GFSK,XX0UHF,BGSA-1802-1526-4835-1410
Norby-2,57179,,435.600,,LoRa,,WSRI-6167-9286-6885-9902
NO-116,51031,,436.235,436.235,500*bps GFSK RTTY* CW,AM9NPQ,BZWR-6172-2785-3507-5423
NUSHSat-1,63211,,436.200,,1200bps FSK,,AGMX-2508-1337-4945-9939
ORARI,40931,145.880/145.825,435.880/145.825,437.425,1k2*AFSK FM tone 88.5Hz,YBSAT/YBOX,EEIT-0315-8565-1765-1994
OTP-2,63235,,400.500/2222.500,,4k8*/9k6 GFSK,OTP-2,XBMS-1269-7435-8541-4310
PCSAT-1,26931,145.827,145.827,,1200bps AFSK,(A) W3ADO-1,MIOI-0494-0446-3367-1916
PHI-1,66775,,436.850/2230.000,,9k6_GMSK,PHI1,
PicSat,43132,145.910,435.525,,1k2*/9k6 BPSK FM,PICSAT,HJCD-0974-5560-7412-4382
PIXL-1,47448,,400.575,,9600bps MSK,,HGYE-7318-8290-9065-4147
Polytech-Universe-3,57191,,435.415,,LoRa/FSK,RS46S,BFHE-2231-6239-4744-4815
PO-101,43678,437.500,145.900,145.900,FM* tone 141.3Hz CW,D1W2PH,HIEK-3729-5596-2727-4744
QMR-KWT-2,67291,145.920,436.950,,2k4*GMSK_USP SSTV FM,RS95S,
QUBE,60476,,435.600,,9600bps GFSK,DP2QU,ZYDE-4447-8719-9309-2022
RadFxSat,43017,435.250,145.960,145.960,FM* CTCSS 67.0Hz/200bps DUV,,PMAW-9203-2442-8666-3249
REAL,64875,,450.060/2202.000,,9600bps GFSK FM,WR9XTX,ZNYX-2468-9597-3161-5205
ROBUSTA-3A,60243,,436.750,2202.000,9600bps FSK,FX6FRD,AEYC-6866-6455-5236-7157
RSP-03,65732,,437.050,437.050,1k2_AFSK 2k4_4FSK OQPSK 9k6*_GMSK CW*,JS1YOY,SRYX-5008-9935-5872-7958
RTU-MIREA1,61785,,436.200,436.200,9600bps GFSK CW,RS51S,UKBO-2090-2618-8439-9299
SAKHACUBE-CHOLBON,67290,,437.350,,2k4*/9k6 GMSK_USP SSDV,RS18S,
Saturn,57174,,435.790,,1200bps AFSK,RS43S,KATA-8177-7690-1660-7290
SaudiSat-1C,27607,145.850,436.795,,FM* tone 67.0Hz,,IRES-5964-9687-1982-0089
Scorpion,67293,,435.240*/435.340/436.650/2410.000,,1k2_AFSK,RS89S,
SEEDS-II,32791,,437.485,437.485,1k2AFSK CW* DigiTalker,JQ1YGU,WLHF-1710-4037-0881-2319
Shaonian-Xing,43199,,,436.370,9600bps BPSK,MXSAT,UFIT-6008-6845-0096-1151
SharjahSat-1,55104,,437.325/2405.000,,256/1k2/9k6* GMSK,A60UOS,DELH-6722-1461-1897-7938
SilverSat,66909,,437.175,437.175,9k6_GMSK SSDV CW,WP2XGW,
SITRO-AIS-5,57176,,401.134,,2k4 GMSK_USP,SC3227,NRAD-4746-6573-1238-7533
SITRO-AIS-6,57192,,401.170,,2k4 GMSK_USP,SC3228,VLWX-1627-4909-3286-3695
SITRO-AIS-7,57194,,401.200,,2k4 GMSK_USP,SC3229,JSYE-0149-1738-9700-1441
SITRO-AIS-8,57193,,401.230,,2k4 GMSK_USP,SC2210,EINY-8730-9827-5965-3152
SITRO-AIS-9,57201,,401.260,,2k4 GMSK_USP,SC2211,KYRP-5328-3519-5716-9299
SITRO-AIS-10,57199,,401.290,,2k4 GMSK_USP,SC2212,PHVZ-1185-4095-1354-8720
SITRO-AIS-11,57208,,401.320,,2k4 GMSK_USP,SC2213,BTMY-6498-5817-1415-4137
SITRO-AIS-12,57204,,401.350,,2k4 GMSK_USP,SC2214,PZEY-6339-9659-2258-4284
SITRO-AIS-13,61743,,401.015,,2k4 GMSK_USP,SC3231,RGSZ-0920-6709-0781-6800
SITRO-AIS-14,61752,,401.035,,2k4 GMSK_USP,SC3232,XBCM-2444-8723-2063-1860
SITRO-AIS-15,61738,,401.055,,2k4 GMSK_USP,SC3233,IWTX-3285-6320-1822-9070
SITRO-AIS-16,61737,,401.075,,2k4 GMSK_USP,SC3234,DSVG-7940-2907-4221-6289
SITRO-AIS-17,61789,,401.095,,2k4 GMSK_USP,SC3235,JRAL-1077-7404-4112-3387
SITRO-AIS-18,61790,,401.115,,2k4 GMSK_USP,SC3236,SYCP-0508-2610-5330-6926
SITRO-AIS-19,61759,,401.135,,2k4 GMSK_USP,SC3237,VLQF-5068-8022-3260-4042
SITRO-AIS-20,61758,,401.155,,2k4 GMSK_USP,SC3238,QTUB-4133-0510-9509-3707
SITRO-AIS-21,61739,,401.175,,2k4 GMSK_USP,SC2309,UCFL-1421-7367-6173-4013
SITRO-AIS-22,61740,,401.195,,2k4 GMSK_USP,SC2310,JCCX-9296-2809-6004-0718
SITRO-AIS-23,61742,,401.215,,2k4 GMSK_USP,SC2311,YGZT-8723-5846-9934-3412
SITRO-AIS-24,61741,,401.235,,2k4 GMSK_USP,SC2312,TRON-6813-0273-5537-8885
SITRO-AIS-25,59066,,401.260,,2k4 GMSK_USP,SC2313,ALSH-7792-3053-9043-5937
SITRO-AIS-26,59067,,401.290,,2k4 GMSK_USP,SC2314,LEYF-9833-5773-7513-7039
SITRO-AIS-27,59068,,401.320,,2k4 GMSK_USP,SC2315,TFHP-8381-2856-3771-0898
SITRO-AIS-28,59071,,401.350,,2k4 GMSK_USP,SC2316,QBAD-3953-1599-8847-5828
SITRO-AIS-37,61780,,401.025,,2k4 GMSK_USP,SC2325,FTBQ-6196-7815-5075-3958
SITRO-AIS-38,61786,,401.045,,2k4 GMSK_USP,SC2326,FFBD-0569-3658-8632-6485
SITRO-AIS-39,61778,,401.065,,2k4 GMSK_USP,SC2327,EBOD-7707-1906-5225-7688
SITRO-AIS-40,61776,,401.085,,2k4 GMSK_USP,SC2328,NRCG-0362-0567-0567-5483
SITRO-AIS-41,61760,,401.105,,2k4 GMSK_USP,SC2329,CYOX-9810-7226-8589-8352
SITRO-AIS-42,61756,,401.125,,2k4 GMSK_USP,SC2330,BFUM-8692-8299-8436-2228
SITRO-AIS-43,61755,,401.145,,2k4 GMSK_USP,SC2331,IVCK-0330-2812-2301-8665
SITRO-AIS-44,61748,,401.165,,2k4 GMSK_USP,SC2332,EHDK-3254-3608-4037-6765
SITRO-AIS-45,61788,,401.185,,2k4 GMSK_USP,SC2333,JADE-4377-6478-5986-2355
SITRO-AIS-46,61774,,401.205,,2k4 GMSK_USP,SC2334,ZBVE-3642-7824-0324-5322
SITRO-AIS-47,61773,,401.225,,2k4 GMSK_USP,SC2360,OQQY-3994-3361-3091-7110
SITRO-AIS-48,61771,,401.245,,2k4 GMSK_USP,SC2370,TFFQ-6286-4853-7503-3720
SITRO-AIS-51,59062,,401.200,,2k4 GMSK_USP,SC2339,QXYV-7911-9423-9188-9035
SITRO-AIS-53,59776,,401.050,,2k4 GMSK_USP,SC2341,ONSC-2128-9588-6624-5100
SITRO-AIS-54,59777,,401.080,,2k4 GMSK_USP,SC2342,SYEN-9282-8275-6947-6745
SITRO-AIS-55,59809,,401.108,,2k4 GMSK_USP,SC2343,DAYJ-0946-5871-8218-4145
