name,norad_id,uplink,downlink,beacon,mode,callsign,status,satnogs_id
BRO-11,58264,,401.735/2260.500,,9600bps FSK,,active,BKIY-3032-2869-4485-1697
BRO-12,59107,,401.735,,9600bps FSK,,active,KSFC-2018-1319-4536-1314
BRO-13,59108,,401.735,,9600bps FSK,,active,IQOY-7969-6018-3429-4654
BRO-14,60551,,401.735,,4800bps FSK,,active,ZTUR-8052-1950-5911-7314
BRO-15,60553,,401.735,,4800bps FSK,,active,PUFM-6212-8243-7442-9645
BRO-16,,,401.735,,4k8*/9k6_FSK,,active,
BSUSat-1,43666,436.200,436.200/436.990*,,4k8/9k6* GMSK Digipeater,EU10S,re-entered,WMQB-0532-9164-6364-5821
BSUSat-2,57175,436.200,436.990,,4k8/9k6* GMSK Digipeater,EU11S,active,PIHV-8715-3112-5892-6258
BugSat-1,40014,,437.445,,9600bps GMSK,LU7AA,active,GPLA-1467-3987-8284-6460
BY70-1,41909,145.920,436.200,,9600bps BPSK FM tone 67.0Hz,,re-entered,ZNNV-2635-7584-6487-5519
BY70-2,45857,,436.200,,9600bps BPSK,,re-entered,NUAN-4837-3393-7029-3247
BY70-3,46839,,437.600,,9600bps BPSK,NPUBY3,re-entered,SSPH-6065-9070-7605-2882
CADRE,41475,,437.485/3404.000,,9600bps GMSK 1Mbit OQPSK,,re-entered,GDLR-0291-0571-9266-1580
CAERUS,,,437.600,,1200bps AFSK,KJ6FIX-1,unknown,
CANX-1,27847,,437.880,,1200bps AFSK,VA3SFL,inactive,
CANX-2,32790,,437.478,,GMSK,VA3SFL,inactive,
CANX-2,32790,,2200.000/2407.650,,32Kbps-256Kbps BPSK,VA3SFL,inactive,
CANX-3A,39092,,145.890,145.890,CW,,inactive,JVIG-3362-0807-4026-2397
CANX-3B,39091,,145.890/437.365,2234.400,32Kbps-256Kbps BPSK,,inactive,XNCA-6781-8639-7113-1665
CANX-4,40055,,145.890/2234.400,437.365,32Kbps-256Kbps BPSK,,inactive,GAVG-9414-7749-2985-8023
CANX-5,40056,,145.890/2234.400,437.365,32Kbps-256Kbps BPSK,,inactive,NNNU-2927-1621-5351-4273
Canyval-X 1/2,,,435.000,435.000,9600bps MSK,,unknown,
CANYVAL-C1,,,436.330,,4800bps GMSK,,unknown,
CANYVAL-C2,,,437.500,,4800bps GMSK,,unknown,
CAPE-1,31130,,435.245,435.248,1200bps AFSK,K5USL,inactive,CICP-0434-9716-2826-6897
CAPE-2,39382,145.825,145.822/437.325,145.825,1200bps AFSK CW Voice,W5UL-15,re-entered,ETNK-7168-8466-2812-2733
CAPE-3,47309,,145.825/437.325*,,1k2*AFSK 9k6 FSK,W5UL-11,re-entered,KCVQ-5243-0306-5795-8893
CapSat-1,,,,,,,unknown,
CASAA-Sat,,145.900,436.500,,9600bps BPSK,CASAA-1,failure,
CAS-1,36122,145.925-145.975,435.765-435.715,,SSB inverting,BJ1SA-11 12,inactive,JJGC-7637-4682-0934-3692
CAS-1,36122,145.825,435.675,,FM tone 67Hz,,inactive,JJGC-7637-4682-0934-3692
CAS-1,36122,,435.790,435.790,CW,BJ1SA,active,JJGC-7637-4682-0934-3692
CAS-2A1/2A2,,,,,,,unknown,
CAS-2T,41847,145.925,435.615,435.710,FM CW*,CAS2T,active,WMGA-3000-1529-8035-2634
CAS-3A,40903,435.030-435.050,145.685-145.665,145.640/145.660,9k6/19k2 GMSK/CW*,BJ1SB,re-entered,UCZE-8814-2695-5595-6102
CAS-3B,40911,435.090-435.110,145.750-145.730,145.705/145.725,9k6/19k2 GMSK/CW*,BJ1SC,active,TZEC-4580-2722-6773-9216
CAS-3C,40906,435.150-435.170,145.815-145.795,145.770/145.790,9k6/19k2 GMSK/CW*,BJ1SD,active,LEDR-0123-1783-1341-9342
CAS-3D,40907,435.210-435.230,145.880-145.860,145.835/145.855,9k6/19k2 GMSK/CW*,BJ1SE,active,TPLI-0230-3137-9154-3991
CAS-3E,40909,435.270-435.290,145.935-145.915,145.890/145.910,9k6 GMSK/CW*,BJ1SF,active,DTZR-4707-4114-9612-3004
CAS-3F,40910,435.330-435.350,146.000-145.980,145.955/145.975,9k6 GMSK/CW*,BJ1SG,active,YWAV-5902-3690-5734-3273
CAS-3G,40912,,145.475*/437.950,,9k6* GMSK,BJ1SH,re-entered,MUJZ-6655-6182-7273-3855
CAS-3H,40908,145.825/145.875,144.390/437.225*,437.200,1k2/4k8*/9k6 FSK APRS FM,BJ1SI,active,AHVS-7983-8710-8819-8034
CAS-3I,40900,,437.300,,9k6 GFSK,BJ1SJ,active,PDYY-8479-0832-6941-1000
CAS-4A,42761,435.210-435.230,145.880-145.860,,SSB*,,inactive,UKHX-2090-2661-0534-2014
CAS-4A,42761,,145.835,145.855,4800bps GMSK CW,BJ1SK,inactive,UKHX-2090-2661-0534-2014
CAS-4B,42759,435.270-435.290,145.935-145.915,,SSB*,,active,NGHO-5109-0535-2414-7008
