satellite,number,uplink,downlink,beacon,mode,callsign
TY-4 (Tianyi-4 Xiaoxiang-4),43669,435.925/2409.000/5659.000,435.925*/2409.000/5839.000,,9k6 GMSK/5Mbps OFDM,
UniSat-6,40012,,437.421,,9600bps GMSK,II0US
UniSat-7,47945,,437.425,,9600bps FSK,II0US
UO-11 (UoSAT-2),14781,,145.826*/435.025,2401.500,(V)FM (S)PSK,UOSAT-2
UPMSat-2,46276,,437.405,,1200bps BFSK,UPMST2
UTMN (SXC3-216),53376,,435.670,,2400bps GMSK USP,RS23S
UVSQ-Sat,47438,145.905,437.020,,1k2/9k6* BPSK FM*,LATMOS-1
UWE-4,43880,437.375,435.600*/437.375/437.385,,9600bps FSK Digipeater,DP0UWH
VDNH-80,44392,,436.500,,4800bps mobitex,
VELOX-III,41935,,437.375,437.375,1200bps AFSK CW,JG6YBW
Vizard (SXC3-215),53386,,437.800,,2400bps GMSK USP,RS33S
Voenmeh (SXC3-2110),53373,,436.050,,2400bps GMSK USP,RS29S
VZLUsat-1 (CZ02),42790,,437.240,437.240,4800bps MSK CW*,VZLUSAT1
VZLUsat-2,51085,,437.325,,1k2/4k8/9k6 GMSK,
Xiaoxiang-2 (TY-2 Tianyi-2),43155,435.350/2403.000/5653.000,435.350*/2403.000/5833.000,,9k6 GMSK/5Mbps OFDM,
Xiaoxiang-4 (TY-4 Tianyi-4),43669,435.925/2409.000/5659.000,435.925*/2409.000/5839.000,,9k6 GMSK/5Mbps OFDM,
XI-IV (CO-57),27848,,437.490,436.848,1200bps AFSK CW*,JQ1YCW
XI-V (CO-58),28895,,437.345,437.465,1200bps AFSK CW*,JQ1YGW
XW-1 (HO-68 CAS-1),36122,,,435.790,CW,BJ1SA
XW-2A (CAS-3A),40903,435.030-435.050,145.685-145.665,145.640/145.660,9k6/19k2 GMSK/CW*,BJ1SB
XW-2B (CAS-3B),40911,435.090-435.110,145.750-145.730,145.705/145.725,9k6/19k2 GMSK/CW*,BJ1SC
XW-2C (CAS-3C),40906,435.150-435.170,145.815-145.795,145.770/145.790,9k6/19k2 GMSK/CW*,BJ1SD
